idx,T,log10E,log10Jump,dir,cap,E,slope
62,7000.62,-4.769083217909759337e-02,-1.014611922545295641e+00,1,0,8.960023894193716032e-01,-9.266614372700098912e+00
63,7000.63,-9.512430737477650666e-02,-1.062346479865242888e+00,1,0,8.032961631751014409e-01,-9.273040839974797223e+00
64,7000.64,-1.483911373282709723e-01,-1.115469009779350706e+00,1,0,7.105732639297684949e-01,-9.269960262306547349e+00
65,7000.65,-2.090618398469214767e-01,-1.175553007212608136e+00,1,0,6.179284061151462115e-01,-9.257445572364476405e+00
66,7000.66,-2.794640386280046740e-01,-1.244928213628754943e+00,1,0,5.254555231904441959e-01,-9.235580008769428417e+00
67,7000.67,-3.632637689496746036e-01,-1.327261940766369053e+00,1,0,4.332476652991884003e-01,-9.204456970850163344e+00
68,7000.68,-4.667404287331969881e-01,-1.428834033059655173e+00,1,0,3.413968984371107962e-01,-9.164179861721441611e+00
69,7000.69,-6.020700579621131032e-01,-1.561820151921091027e+00,1,0,2.499942052467263864e-01,-9.114861919906614318e+00
70,7000.7,-7.982496087061056178e-01,-1.755216044216340920e+00,1,0,1.591293875519837198e-01,-9.056626039740887535e+00
71,7000.71,-1.161837695553145533e+00,-2.115578284711140178e+00,1,0,6.889097074394502640e-02,-8.989604580804680722e+00
72,7000.72,-1.685418891677267217e+00,-2.635488557586425529e+00,-1,0,2.063388987410473205e-02,8.913939166649319290e+00
73,7000.73,-9.611434813771030372e-01,-1.907093387614825275e+00,-1,0,1.093595006764074701e-01,8.829780473089900994e+00
74,7000.74,-7.050893033490979178e-01,-1.646465954902460060e+00,-1,0,1.972017191364371924e-01,8.737288006352359915e+00
75,7000.75,-5.465623356172217839e-01,-1.482906643629411381e+00,-1,0,2.840780409805868656e-01,8.636629871373523670e+00
76,7000.76,-4.319066459530689905e-01,-1.362752947991189512e+00,-1,0,3.699076849769090125e-01,8.527982530564425900e+00
77,7000.77,-3.423594149856309388e-01,-1.267234441746562634e+00,-1,0,4.546116752651400694e-01,8.411530553358172568e+00
78,7000.78,-2.691265795733818189e-01,-1.187548357963158274e+00,-1,0,5.381129211375039745e-01,8.287466356874183759e+00
79,7000.79,-2.073728087070999260e-01,-1.118849490028996474e+00,-1,0,6.203362941831624955e-01,8.155989938040960396e+00
80,7000.8,-1.541527025088961500e-01,-1.058181303035889309e+00,-1,0,7.012087027126462369e-01,8.017308597529122949e+00
81,7000.81,-1.075385381729594414e-01,-1.003603577610643560e+00,-1,0,7.806591633821695631e-01,7.871636655855869691e+00
82,7000.82,-6.619957122419675710e-02,-9.537715924264680289e-01,-1,0,8.586188699413848102e-01,7.719195162030801249e+00
83,7000.83,-2.917851471542506903e-02,-9.077124654160543260e-01,-1,0,9.350212590318734973e-01,7.560211595121395511e+00
84,7000.84,4.236257899793815195e-03,-8.646971962656498922e-01,-1,0,1.009802072967498132e+00,7.394919559124351061e+00
85,7000.85,3.458812087799224139e-02,-8.241630716827805792e-01,-1,0,1.082899419431632371e+00,7.223558471536378534e+00
86,7000.86,6.230132354344150580e-02,-7.856643204672315584e-01,-1,0,1.154253828030263662e+00,7.046373246024910664e+00
87,7000.87,8.771339559582497225e-02,-7.488394538974121328e-01,-1,0,1.223808303643993289e+00,6.863613969605615317e+00
88,7000.88,1.110972272861462939e-01,-7.133888873681686338e-01,-1,0,1.291508376526065760e+00,6.675535574739438260e+00
89,7000.89,1.326765367379447447e-01,-6.790591221246109477e-01,-1,0,1.357302149097703525e+00,6.482397506767290984e+00
90,7000.9,1.526369671715966658e-01,-6.456312332324856129e-01,-1,0,1.421140339396238739e+00,6.284463387105298615e+00
91,7000.91,1.711342166506556184e-01,-6.129122471874711708e-01,-1,0,1.482976321135778930e+00,6.082000672627836835e+00
92,7000.92,1.883001043080447523e-01,-5.807284874709780498e-01,-1,0,1.542766160344434923e+00,5.875280311669345501e+00
93,7000.93,2.042471712032840336e-01,-5.489202672168628228e-01,-1,0,1.600468648546470307e+00,5.664576397079118308e+00
94,7000.94,2.190722209565104939e-01,-5.173374945698537841e-01,-1,0,1.656045332462082298e+00,5.450165816765969673e+00
95,7000.95,2.328590803473792881e-01,-4.858358724079615554e-01,-1,0,1.709460540201906520e+00,5.232327902171785006e+00
96,7000.96,2.456807773019729912e-01,-4.542734447966444433e-01,-1,0,1.760681403937738976e+00,5.011344075114555707e+00
97,7000.97,2.576012777380656815e-01,-4.225072818580704603e-01,-1,0,1.809677879035373582e+00,4.787497493442559815e+00
98,7000.98,2.686768842058476769e-01,-3.903901100247364475e-01,-1,0,1.856422759639880571e+00,4.561072695941785327e+00
99,7000.99,2.789573722742423878e-01,-3.577666886660141321e-01,-1,0,1.900891690708067072e+00,4.332355246938690563e+00
100,7001,2.884869214200414533e-01,-3.244697057547085706e-01,-1,0,1.943063176487281885e+00,4.101631381039733348e+00
101,7001.01,2.973048833337897934e-01,-2.903149093777085410e-01,-1,0,1.982918585444134907e+00,3.869187648447975025e+00
102,7001.02,3.054464204414378825e-01,-2.550950977235149630e-01,-1,0,2.020442151651095308e+00,3.635310561295351128e+00
103,7001.03,3.129430399611780600e-01,-2.185724382103819141e-01,-1,0,2.055620972643311006e+00,3.400286241426953460e+00
104,7001.04,3.198230432223884145e-01,-1.804683422354704248e-01,-1,0,2.088445003762337659e+00,3.164400070070890969e+00
105,7001.05,3.261119057488250372e-01,-1.404497241635810079e-01,-1,0,2.118907049007790366e+00,2.927936339823975498e+00
106,7001.06,3.318326003858689255e-01,-9.810980882636663458e-02,-1,0,2.147002748422207397e+00,2.691177909379630417e+00
107,7001.07,3.370058732717440275e-01,-5.294050614648537767e-02,-1,0,2.172730562038666768e+00,2.454405861420054347e+00
108,7001.08,3.416504805279863555e-01,-4.291316706760917900e-03,-1,0,2.196091750424883582e+00,2.217899164089773389e+00
109,7001.09,3.457833920388872495e-01,4.869413027735746552e-02,-1,0,2.217090351861669362e+00,1.981934336462322532e+00
110,7001.1,3.494199675030778551e-01,1.071804841746201720e-01,-1,0,2.235733156197717619e+00,1.746785118405896009e+00
111,7001.11,3.525741089986488275e-01,1.728149442718751316e-01,-1,0,2.252029675426708177e+00,1.512722145247392014e+00
112,7001.12,3.552583935506783974e-01,2.480441394638638331e-01,-1,0,2.265992111036678747e+00,1.280012627627406641e+00
113,7001.13,3.574841885848754619e-01,3.367418070101338978e-01,-1,0,2.277635318185516233e+00,1.048920036931356048e+00
114,7001.14,3.592617526613657852e-01,4.456048060207835060e-01,-1,0,2.286976766760208335e+00,8.197037966740777781e-01
115,7001.15,3.606003234840668425e-01,5.878247666755910261e-01,-1,0,2.294036499381255201e+00,5.926189802069705692e-01
116,7001.16,3.615081948547572144e-01,7.957595020993386559e-01,-1,0,2.298837086417266917e+00,3.679160151079919339e-01
117,7001.17,3.619927839722366647e-01,1.198114953237341629e+00,-1,0,2.301403578078344836e+00,1.458403946056633926e-01
118,7001.18,3.620606902544353245e-01,1.496556356146461653e+00,1,0,2.301763453660297998e+00,-7.336760362136490743e-02
119,7001.19,3.617177466759675108e-01,9.001093981875664118e-01,1,0,2.299946568015120096e+00,-2.894731909376462298e-01
120,7001.2,3.609690644582947416e-01,6.600514250064285493e-01,1,0,2.295985095326411596e+00,-5.022473332160256598e-01
121,7001.21,3.598190718186768944e-01,5.076643059666551272e-01,1,0,2.289913470271587759e+00,-7.114670079641337574e-01
122,7001.22,3.582715473728869671e-01,3.959422553992122396e-01,1,0,2.281768326655768675e+00,-9.169154528130962767e-01
123,7001.23,3.563296486915422112e-01,3.077393227617122862e-01,1,0,2.271588433605171709e+00,-1.118382405080781794e+00
124,7001.24,3.539959364278730258e-01,2.348508353694416240e-01,1,0,2.259414629410657849e+00,-1.315664332133770431e+00
125,7001.25,3.512723943633242474e-01,1.727084669728458088e-01,1,0,2.245289753114761311e+00,-1.508564652284407392e+00
126,7001.26,3.481604456545349668e-01,1.185057454220165563e-01,1,0,2.229258573938132315e+00,-1.696893945971794437e+00
127,7001.27,3.446609655092338631e-01,7.039451993806264407e-02,1,0,2.211367718643743263e+00,-1.880470156988367503e+00
128,7001.28,3.407742904679744722e-01,2.709289016259722530e-02,1,0,2.191665596939549321e+00,-2.059118783526761476e+00
129,7001.29,3.365002244221437788e-01,-1.232490745385771830e-02,1,0,2.170202325022464684e+00,-2.232673058835000557e+00
130,7001.3,3.318380414551955759e-01,-4.854943761675784702e-02,1,0,2.147029647368578598e+00,-2.400974121281614693e+00
131,7001.31,3.267864855525738910e-01,-8.210971392906309119e-02,1,0,2.122200856876448327e+00,-2.563871173646080415e+00
132,7001.32,3.213437671853608957e-01,-1.134201473992550863e-01,1,0,2.095770713472072000e+00,-2.721221631463995649e+00
133,7001.33,3.155075567324065466e-01,-1.428116314042753299e-01,1,0,2.067795361285800659e+00,-2.872891260270585168e+00
134,7001.34,3.092749746646652476e-01,-1.705527922831076848e-01,1,0,2.038332244512915281e+00,-3.018754301600512946e+00
135,7001.35,3.026425783727648700e-01,-1.968649203840509287e-01,1,0,2.007440022070964947e+00,-3.158693587616501652e+00
136,7001.36,2.956063454734722540e-01,-2.219327133542986497e-01,1,0,1.975178481168149869e+00,-3.292600644253916631e+00
137,7001.37,2.881616533816295234e-01,-2.459121694650772405e-01,1,0,1.941608449898094557e+00,-3.420375782783262597e+00
138,7001.38,2.803032548801068224e-01,-2.689364957986258853e-01,1,0,1.906791708977257471e+00,-3.541928179707404922e+00
139,7001.39,2.720252493599636945e-01,-2.911206051733458700e-01,1,0,1.870790902741987338e+00,-3.657175944925316724e+00
140,7001.4,2.633210493347177827e-01,-3.125645915650011042e-01,1,0,1.833669449522835615e+00,-3.766046178109136111e+00
141,7001.41,2.541833417544615004e-01,-3.333564543105802525e-01,1,0,1.795491451514197756e+00,-3.868475013256426731e+00
142,7001.42,2.446040435552406245e-01,-3.535742621087896165e-01,1,0,1.756321604257658375e+00,-3.964407651394590282e+00
143,7001.43,2.345742507738143856e-01,-3.732878941727019728e-01,1,0,1.716225105857570821e+00,-4.053798381429492892e+00
144,7001.44,2.240841804342232901e-01,-3.925604589178247061e-01,1,0,1.675267566047404566e+00,-4.136610589145440997e+00
145,7001.45,2.131231042662775355e-01,-4.114494646889709228e-01,1,0,1.633514915225252384e+00,-4.212816754378697404e+00
146,7001.46,2.016792731418769191e-01,-4.300077986630163052e-01,1,0,1.591033313576583952e+00,-4.282398436401712694e+00
147,7001.47,1.897398309064184663e-01,-4.482845568789307067e-01,1,0,1.547889060401893335e+00,-4.345346247570176068e+00
148,7001.48,1.772907160311484598e-01,-4.663257587952095995e-01,1,0,1.504148503766289391e+00,-4.401659815299844958e+00
149,7001.49,1.643165492076773537e-01,-4.841749728186073298e-01,1,0,1.459877950587334494e+00,-4.451347732454798312e+00
150,7001.5,1.508005046346092559e-01,-5.018738741804984471e-01,1,0,1.415143577276547937e+00,-4.494427496243412534e+00
151,7001.51,1.367241622911474497e-01,-5.194627528749594658e-01,1,0,1.370011341048956943e+00,-4.530925435732772399e+00
152,7001.52,1.220673379313948481e-01,-5.369809867854894447e-01,1,0,1.324546892013895860e+00,-4.560876628106544040e+00
153,7001.53,1.068078868369415763e-01,-5.544674933927146165e-01,1,0,1.278815486158933368e+00,-4.584324803805460924e+00
154,7001.54,9.092147649627072004e-02,-5.719611724300845967e-01,1,0,1.232881899337353593e+00,-4.601322240703463073e+00
155,7001.55,7.438132228735851170e-02,-5.895013514563897106e-01,1,0,1.186810342368005200e+00,-4.611929647486252115e+00
156,7001.56,5.715787885778165350e-02,-6.071282465122416205e-01,1,0,1.140664377354609016e+00,-4.616216036412494006e+00
157,7001.57,3.921847813484864026e-02,-6.248834508396868825e-01,1,0,1.094506835329738692e+00,-4.614258585651104028e+00
158,7001.58,2.052690263494982154e-02,-6.428104661369858919e-01,1,0,1.048399735326695170e+00,-4.606142491401019612e+00
159,7001.59,1.042879809654347501e-03,-6.609552931194760950e-01,1,0,1.002404204980361868e+00,-4.591960810012529315e+00
160,7001.6,-1.927852066472655196e-02,-6.793671014610398462e-01,1,0,9.565804027558792999e-01,-4.571814290341618126e+00
161,7001.61,-4.048760980024881245e-02,-6.980990037967927941e-01,1,0,9.109874419016036340e-01,-4.545811196580819669e+00
162,7001.62,-6.264095229127673858e-02,-7.172089648132842221e-01,1,0,8.656833162203123599e-01,-4.514067121821841333e+00
163,7001.63,-8.580242853393768576e-02,-7.367608851767727396e-01,1,0,8.207248277500212019e-01,-4.476704792616597928e+00
164,7001.64,-1.100445369692849562e-01,-7.568259120917737448e-01,1,0,7.761675164430446028e-01,-4.433853864814331303e+00
165,7001.65,-1.354500050936970346e-01,-7.774840450339547404e-01,1,0,7.320655919291081393e-01,-4.385650710963165722e+00
166,7001.66,-1.621138013226026964e-01,-7.988261287580846748e-01,1,0,6.884718674453825793e-01,-4.332238199574742765e+00
167,7001.67,-1.901456737438947109e-01,-8.209563592431233792e-01,1,0,6.454376960132752750e-01,-4.273765466560445425e+00
168,7001.68,-2.196733906445464124e-01,-8.439954767812022363e-01,1,0,6.030129089386793151e-01,-4.210387679157247653e+00
169,7001.69,-2.508469294536788685e-01,-8.680848918494811217e-01,1,0,5.612457567091582167e-01,-4.142265792670240643e+00
170,7001.7,-2.838439682665301889e-01,-8.933920965597215158e-01,1,0,5.201828523582252561e-01,-4.069566300367571721e+00
171,7001.71,-3.188771987864698620e-01,-9.201178787348444077e-01,1,0,4.798691173634823670e-01,-3.992460976871684331e+00
172,7001.72,-3.562042379704456474e-01,-9.485061136205628074e-01,1,0,4.403477301419030931e-01,-3.911126615398533790e+00
173,7001.73,-3.961413326011947733e-01,-9.788573245948595236e-01,1,0,4.016600772019906507e-01,-3.825744759203702827e+00
174,7001.74,-4.390827449237481028e-01,-1.011547897446405164e+00,1,0,3.638457070089189949e-01,-3.736501427601185643e+00
175,7001.75,-4.855289042716268710e-01,-1.047058028715336597e+00,1,0,3.269422866150748508e-01,-3.643586836926933969e+00
176,7001.76,-5.361285604578854835e-01,-1.086013638365939116e+00,1,0,2.909855611046683332e-01,-3.547195116825128114e+00
177,7001.77,-5.917442309023454028e-01,-1.129251531911259931e+00,1,0,2.560093158972712168e-01,-3.447524022240492148e+00
178,7001.78,-6.535583329882602710e-01,-1.177925194928292729e+00,1,0,2.220453419512875282e-01,-3.344774641504852930e+00
179,7001.79,-7.232547241553477502e-01,-1.233685931739785469e+00,1,0,1.891234039044521753e-01,-3.239151100910495185e+00
180,7001.8,-8.033507685907664841e-01,-1.299014453586495144e+00,1,0,1.572712111845125382e-01,-3.130860266166737294e+00
181,7001.81,-8.978600668798973894e-01,-1.377883035459229299e+00,1,0,1.265143921192634080e-01,-3.020111441139493813e+00
182,7001.82,-1.013781689665417929e+00,-1.477244060640719336e+00,1,0,9.687647107109505218e-02,-2.907116064276412004e+00
183,7001.83,-1.165078216253916832e+00,-1.611007225512944840e+00,1,0,6.837884861717576090e-02,-2.792087403122500255e+00
184,7001.84,-1.386784343127226204e+00,-1.814147132626849235e+00,1,0,4.104078479233165544e-02,-2.675240247332933752e+00
